stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,4.28,0,0,0,0,0,0,0,1.07,0,0,0,2.14,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,20.08,0,12.05,21.42,0,0,0,4.02,1.34,0,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,2.68
3Month,0,0.32,0.32,6.08,0,0.32,0.32,0.96,40.31,8,127.66,0.32,6.72,0,2.24,12.8,0.32,0.64,15.68,1.6,0,0,0.32,0.64,0,0,1.28,7.04,0.32,0,0.64,6.4,4.16
22Month,0,1.64,0,3.83,0,1.09,0,0,118.08,28.97,160.72,1.64,5.47,1.09,0,8.75,3.83,0.55,15.85,0,0,0,0.55,0,0.55,0.55,0,2.19,0,0.55,0,0.55,6.56
