stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,0,13.39,0,0,0,0,0,0,0,0,0,0,9.37,4.02,1.34,0,0,0,0,2.68,0,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0,15.36,0,0.32,2.24,0.96,0,4.16,2.24,0,8.64,1.28,6.08,4.48,1.6,0,0.96,0.96,0.32,0,0.32,0,0,0.32,28.8,0.32,0.64,32.63,4.16
22Month,0,1.64,2.73,6.01,0.55,0,4.92,2.73,9.29,35.53,8.2,0.55,24.05,1.09,0.55,3.83,4.37,0.55,2.19,0,0,0,0,0.55,0,0,3.28,0,0,0.55,2.19
