stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,8.17,0,8.17,12.26,0,0,4.09,102.16,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,3.21,22.47,1.07,0,0,0,0,0,0,0,2.14,12.84,3.21,7.49,0,3.21,41.72,53.49,0,1.07,12.84,0,5.35,2.14,0,0,0
21Day,4.02,0,13.39,16.06,1.34,0,0,1.34,0,0,2.68,0,1.34,2.68,9.37,12.05,0,0,4.02,10.71,0,1.34,4.02,2.68,1.34,1.34,0,0,0
3Month,0,0,6.72,2.24,0,0,0.64,1.92,5.76,1.6,0,0.64,0.64,1.92,1.6,0.96,0,0,0.32,0,0,0.32,0,4.16,0,0,0.32,2.56,2.24
22Month,0,0.55,2.73,0.55,0,0.55,0,4.37,14.21,1.09,1.09,0.55,0,0,1.09,0,0.55,1.09,0,0,0.55,0,0,1.64,0,0,0.55,0,1.64
