stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,2.14,2.14,0,0,1.07,1.07,0
21Day,0,0,0,1.34,0,1.34,0,1.34,0,1.34,4.02,13.39,0,0
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.32
22Month,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0
