stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,49.04,204.32,20.43,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,35.3,0,0,0,0,0,1.07,0,0,0,16.05,80.23,36.37,3.21,0,1.07,0,4.28,10.7,5.35,0,0,31.02,0,0,2.14,1.07,0,0,0,0
21Day,1.34,0,2.68,251.64,12.05,0,0,4.02,0,4.02,0,10.71,2.68,2.68,234.24,54.88,24.09,0,0,0,6.69,9.37,6.69,1.34,0,33.46,8.03,1.34,0,1.34,8.03,1.34,0,1.34
3Month,0,0.32,1.28,15.68,0,0.32,2.24,14.08,0,99.82,1.28,0,2.24,0.32,6.72,39.35,1.92,0,0.32,0.96,12.16,0,0,0,0,0.32,1.28,3.2,0,0,0,0,0.64,1.28
22Month,0,0,2.73,20.77,0,1.09,1.64,28.43,1.64,388.67,0.55,2.19,6.01,1.09,3.83,141.58,7.65,0.55,5.47,0,0,0.55,0,0,1.09,0.55,0,1.64,0,0.55,0,0,0,0.55
