stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,4.09,36.78,0,4.09,143.02,0,8.17,0,0,0,0,0
72hpf,6.42,0,1.07,0,0,0,0,1.07,0,1.07,2.14,1.07,10.7,1.07,25.67,33.16,0,9.63,0,1.07,1.07,0,0
21Day,0,2.68,1.34,0,0,0,0,2.68,0,0,0,0,2.68,0,2.68,5.35,0,2.68,0,0,0,0,1.34
3Month,0,0.64,0,0,0,0.96,0.32,0,0.32,0,0,0.64,0.32,0,0,0,0,0,0.96,0,0,0.32,0.64
22Month,0,1.09,0,0.55,1.09,6.56,0,0.55,1.64,0,0,1.09,1.09,0,0,0,0.55,0,0,0,0,0,0.55
