stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,20.43,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,4.28,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,4.28,0,0,1.07,16.05,9.63,0,0,0,1.07,1.07,0,0,0,1.07,0,0,0
21Day,0,0,0,10.71,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,1.34,5.35,0,0,0,5.35,5.35,0,0,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0.32,5.12,0.32,18.88,0,0.32,0.64,0.32,5.76,2.88,0,16,2.56,0.32,4.16,1.28,7.04,2.24,8.64,0.64,0,1.92,1.6,0,1.28,0.32,0,0,0.32,1.92,0.32,0,0,1.92,2.56,1.92
22Month,0.55,12.03,0,8.75,0,0.55,0,0,0.55,5.47,0.55,51.39,1.09,1.64,6.56,0,1.09,4.92,7.11,0,0.55,0.55,0,0,0.55,0.55,0.55,0,0.55,0,0,0.55,0,0,0,0
