stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,0,0,0,0,2.68
3Month,0,0.32,0.64,0,0.96,0.32,0.64,0,0,0.32,0
22Month,0,0,0,1.64,2.73,0,0,0.55,0.55,1.09,0
