stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,0,0,0
21Day,0,4.02,0,0,0,1.34,0,0,0,2.68,0,1.34,0,0,1.34,0,0,0,0,1.34,0,0
3Month,0.32,5.76,0,0.32,0.64,10.88,0.32,0.32,3.2,0.32,1.28,0.64,0,0.32,0,0,2.24,0,0.32,12.16,5.12,0.32
22Month,0.55,3.28,0.55,0,0.55,36.08,0.55,0.55,2.73,1.64,1.09,2.19,2.19,0,0,0,2.19,0.55,0.55,12.03,0,1.09
