stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,16.35,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,0,0,0,0,0,0,1.07,2.14,11.77,5.35,0,0,0,20.33,10.7,0,68.47,1.07,3.21,0,1.07,0,0
21Day,9.37,0,0,20.08,2.68,0,0,0,0,0,0,40.16,9.37,82.99,0,0,0,4.02,5.35,0,42.83,4.02,2.68,1.34,1.34,0,0
3Month,0,0.96,0.64,3.52,0,0,0.64,0,3.52,0.32,0,0.32,9.6,24.96,1.6,0,0,0,0,0,0.32,0,0,0,0,0.64,0.96
22Month,0.55,3.83,2.73,2.73,0,0.55,7.65,9.84,19.13,0.55,0,0.55,57.95,101.13,0,0.55,1.09,0.55,0,0.55,0,0,0,0,0,0,0
