stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,49.04,0,0,0,0,0,0,0,0
72hpf,0,4.28,0,1.07,0,0,1.07,0,0,0,0,0,0,6.42,0,1.07,2.14,0,1.07,14.98,3.21,0,0,4.28,0,2.14,0,0,0
21Day,1.34,2.68,0,2.68,1.34,1.34,2.68,0,1.34,0,0,13.39,2.68,0,2.68,1.34,5.35,0,0,8.03,1.34,0,0,8.03,2.68,0,1.34,0,1.34
3Month,0,2.88,0.32,5.12,0,0,0,0.32,1.6,0.96,4.16,6.4,6.4,0,0.96,2.88,3.84,0.32,0.32,0,0,0.32,3.52,0.32,6.08,0,0,0.32,1.28
22Month,0,3.83,0,0.55,0,0,0,0,1.64,7.65,12.03,3.83,0.55,0,0.55,0.55,1.09,0,0,0,0,0,2.19,0,5.47,0,0,0,0
