stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,1.07,1.07,0,2.14,0,0,0,65.26,3.21,0,1.07,1.07,0,0,0
21Day,2.68,2.68,2.68,0,9.37,0,2.68,52.2,2.68,0,2.68,5.35,2.68,0,0
3Month,0,0.64,0,0.32,0.64,0,0,0.32,0,0.32,0,0,0,0.96,0.64
22Month,0,0,0,0,1.09,0.55,0,0,0,0,0,0,0,1.09,0
