stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,44.95,0,0,0,0,12.26,0,0,0,0,0,0,0,40.86,0,0,0
72hpf,2.14,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,6.42,8.56,0,103.77,0,4.28,0,128.37,9.63,0,0,4.28,0,0,0,0,19.26,0,0,0
21Day,0,0,0,45.51,0,5.35,0,2.68,0,0,0,0,0,0,1.34,4.02,0,124.48,1.34,28.11,0,12.05,0,5.35,4.02,0,0,2.68,5.35,0,5.35,6.69,9.37,0,0,1.34
3Month,0,0.96,0,128.94,0.32,0,2.24,0,0.32,0.64,1.6,0,7.04,1.92,0,8.32,6.72,73.27,3.2,34.87,0,14.4,0.96,1.6,0.32,0.32,0,0.32,0.32,3.2,0.64,0,8.64,0.96,8.32,2.56
22Month,0,1.64,1.09,32.25,0,0,1.09,0,0,0.55,3.28,0.55,27.33,0.55,0,4.92,2.73,9.29,2.19,15.85,1.09,6.56,0,4.37,0,0.55,0.55,0,0.55,2.19,26.24,0,2.73,0.55,0,0.55
