stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0
72hpf,0,1.07,2.14,0,0,0,0,0,0,1.07,1.07,18.19,5.35,2.14,0,0,0,0,0
21Day,0,8.03,0,1.34,0,0,1.34,1.34,0,1.34,4.02,4.02,9.37,0,1.34,0,1.34,0,0
3Month,0.32,0.96,0,0,0.64,0.32,0,0,0.32,0,0,0,0,0,0,1.92,0,16,0.32
