stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,T_cell
3Month,0.32,0,1.28,0.32,0,0.64,0,0,0,0,0
22Month,1.09,0.55,0,0.55,4.37,1.09,0.55,0.55,0.55,0.55,0.55
