stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,1.07,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0
3Month,0.32,0,0,0,0.32,0,0,0,0,0,0.32,0,0,0,0,0,6.08,0.32,0,0,1.28,0,0,0,0.64
22Month,0.55,0.55,1.64,1.64,1.64,1.09,0,265.67,0.55,3.28,0,0,0.55,2.73,6.56,0.55,0.55,0.55,0,0.55,4.37,1.09,0,0.55,0
