stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,2.14,0,2.14,0,0,0,1.07,5.35,1.07,3.21,0,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,0,0,0,8.03,0,4.02,0,1.34,0,4.02,1.34,0,1.34,0,4.02,0,0,0
3Month,0,2.56,0,31.99,0,51.83,0.32,4.48,0.96,0.32,23.04,0.32,1.92,5.44,1.6,0.32,56.31,0.64,0.32,0,4.48,0.64,0.32,32.95,0.32,8.64,0.32
22Month,1.09,2.73,1.09,8.2,0,1.09,0,5.47,0,0,2.19,0,4.92,0.55,1.64,0,1.09,0,0.55,0.55,0,0,0.55,69.43,0,0,0.55
