stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,28.6,4.09,0,0,0,0,0,0,0,0,143.02,0,0,4.09,0,0,0,143.02,4.09,89.9,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,32.09,1.07,0,0,0,0,0,0,0,0,8.56,1.07,0,1.07,0,4.28,0,53.49,114.47,39.58,3.21,5.35,0,0,2.14,0,0,0,0,0
21Day,2.68,1.34,1.34,6.69,2.68,0,0,1.34,0,0,0,1.34,0,0,2.68,1.34,0,0,0,0,4.02,68.27,9.37,1.34,1.34,2.68,0,1.34,1.34,0,0,0,0
3Month,0.64,2.56,1.28,477.68,0,0.96,0,9.28,4.48,19.2,8.64,1.28,9.92,14.72,176.61,4.48,7.68,2.56,0,1.92,133.74,146.86,0,6.72,0.32,4.16,4.48,0.64,0,0,1.6,4.16,5.44
22Month,0,1.09,0,224.13,0,0.55,0.55,49.75,4.92,19.68,3.83,0,2.73,1.09,2.19,0.55,3.83,0,1.09,2.19,10.39,59.04,0.55,7.11,0,0,1.09,0,0,0.55,0,0,1.09
