stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,4.09,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,2.14,0,0,19.26,3.21,0,0,0,2.14,0,0,1.07,0,0,0
21Day,0,0,0,4.02,2.68,1.34,0,0,0,1.34,0,0,1.34,0,0,0,1.34,2.68,0,0,0,0,8.03,2.68,0,1.34,0,0,1.34,1.34,0,0,0,0
3Month,0.32,0,0.64,5.76,0.32,0,0.32,0.64,1.28,11.84,13.12,6.72,1.6,3.84,0.32,0.32,2.56,0.96,0.64,0,0.32,0.32,0,0.32,2.24,0,0,0.32,0.64,10.56,0,0.64,2.56,1.6
22Month,0,1.64,1.09,4.37,0,0,0,0,1.64,41.55,51.39,4.92,1.64,7.11,0.55,2.73,3.83,8.75,0.55,2.19,0.55,0.55,0,0,0.55,1.09,0.55,0.55,0,4.37,0,0,0,3.28
