stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,4.09,0,0,0,0,12.26,0
21Day,1.34,0,0,0,0,1.34,0,0
22Month,0,0,1.09,0.55,0.55,0.55,0,0.55
