stage,Intestinal_bulb_cell,Ionocyte,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,2.14,2.14,3.21,0,0,0,0
3Month,0.32,0,0,0,0,0.32,0,0.32
22Month,0,0,0,0,1.64,0,0.55,0
