stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.51,4.28,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,46.85,1.34,0,0,0,0,1.34,1.34,0,4.02,0,0,0
3Month,0,1.28,0.32,12.8,0,0.32,0.32,0.96,1.28,0,26.56,3.84,6.4,1.92,5.12,2.88,3.2,0.64,0,0.32,0.96,123.5,0.32,0.64,0,0,0.32,0.64,6.72,0,0,0.64,1.28,0.64
22Month,0,0.55,0.55,2.19,0,0,0,1.09,2.19,0.55,89.1,1.64,6.01,0.55,0.55,1.64,5.47,0,1.09,0,0,93.48,0,1.64,0.55,1.09,0,0,4.37,0.55,0.55,0.55,0,2.19
