stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,4.09,0,0,0
72hpf,0,0,0,20.33,0,1.07,1.07
21Day,5.35,0,0,2.68,0,1.34,0
3Month,0,0,0.32,0.32,0,0,0
22Month,0,2.19,0,0,0.55,0,0
