stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,16.35,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,257.82,3.21,0,0,0,0,0,0,0,0,1.07,0,1.07,0,1.07,0,0,13.91,7.49,6.42,0,64.19,0,0,1.07,0,0,0,0,0
21Day,0,0,5.35,339.99,13.39,0,1.34,0,0,0,0,0,5.35,13.39,0,2.68,0,0,2.68,0,13.39,4.02,0,0,60.23,6.69,0,0,0,1.34,0,0,0
3Month,0,0.32,5.44,85.75,0,0,0,1.28,1.6,10.88,10.56,1.6,1.28,3.2,2.24,3.2,5.12,0,0,0.32,7.36,0,4.48,0,27.84,1.28,0.96,0.64,0,0,3.2,1.28,0.32
22Month,1.64,0,9.29,14.76,0,1.09,0,0.55,4.92,28.97,3.28,2.19,0,1.64,0,2.73,0,0.55,1.09,0,0,1.09,0,0.55,4.37,0.55,0.55,0,1.64,0,0,0,0
