stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell
72hpf,0,0,0,0,2.14
21Day,1.34,0,0,0,0
22Month,0,0.55,0.55,0.55,0
