stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,77.64,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,0,0,0,0,0,0,0,0,4.28,7.49,0,0,0,0,0,2.14,3.21,0,0,0,0,0,0,0
21Day,0,0,0,26.77,0,1.34,0,0,0,0,0,8.03,0,13.39,0,1.34,1.34,1.34,0,4.02,1.34,0,1.34,2.68,0,0,0,1.34
3Month,0.32,0.32,0,189.73,0.96,0.32,1.28,2.24,4.16,1.28,0.96,14.08,1.92,24,2.88,1.6,0,0.32,0.32,0,0,0.32,0,1.28,1.6,0.32,1.6,0.64
22Month,0,0,0.55,0.55,0,0,1.09,0.55,0,0,0,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0
