stage,Endothelial_cell,Epithelial_cell,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,4.09,0,0,0,0,28.6
72hpf,0,0,0,0,1.07,1.07,1.07
21Day,0,1.34,0,0,0,0,0
22Month,0.55,0,0.55,0.55,0,0,0
