stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,1.07,0,0,0,32.09,0,0,0
21Day,0,0,0,0,0,0,0,2.68,0,1.34,4.02,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0.96,2.56,0.96,0.32,4.16,14.08,1.6,0.32,0,87.67,2.24,2.24,0,0.96,0.32,0.32,0.32,0,0.32,0.64,0.32,29.44
22Month,0,0,0.55,1.09,0.55,10.39,1.09,0.55,0,0,42.64,0,0,0.55,0.55,0,0,0,1.09,0,0,0,3.83
