stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,4.09,0,4.09,16.35,0,12.26,44.95,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,21.4,3.21,0,0,2.14,0,0,0,2.14,0,1.07,0,0,0
21Day,2.68,0,9.37,1.34,1.34,0,0,0,0,0,2.68,0,0,2.68,2.68,0,0,12.05,2.68,0,0,0,2.68,0,5.35,0,1.34,0,0,0,1.34
3Month,0,0,6.72,0,0,0.32,0.96,3.2,16.32,2.56,0.64,4.8,1.92,3.2,4.16,0.96,0.64,0,0,0.64,0,0,0.96,0.32,2.24,0,0,0,0.64,3.84,0.96
22Month,0,1.09,0.55,0,0,0,0.55,3.83,18.04,2.73,0,2.73,0,0.55,0.55,1.09,0,0.55,0,0,2.73,0,0,0,3.28,0,1.64,0,0,0,0.55
