stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.33,2.14,2.14,1.07,0,0,0,3.21,3.21,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,25.43,1.34,8.03,0,1.34,0,0,1.34,0,5.35,0,1062.8,54.88,4.02,9.37,0,0,1.34,6.69,8.03,0,0,8.03,5.35,0,0,1.34,0,0,0
3Month,0,0,0.32,5.12,0,0,0.32,0.32,0.96,0,8.96,1.28,0,1.28,13.76,0.96,18.24,0.32,0.64,0,0.96,0,0,0,0,0.32,0.32,2.24,0.32,0,0.32,0.32,0.96
22Month,0.55,0.55,0.55,6.56,0,0,0,2.73,1.64,0.55,27.88,0,1.09,3.83,43.19,0.55,1.64,3.28,0,1.09,2.19,0,0,0.55,0.55,0,1.09,2.73,0.55,0.55,0,0,0.55
