stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Neural_cell,Oligodendrocyte
24hpf,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,10.7,0
21Day,0,0,1.34,0,0,5.35,1.34
22Month,0,2.19,0,1.09,0.55,0,0
