stage,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,8.17,0
72hpf,0,0,1.07,0,0,0
21Day,0,0,4.02,0,0,0
3Month,0.64,0.32,0,0.32,0,0.32
