stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,61.3,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,2.14,0,1.07,0,0,0,0,0,0,0,1.07,6.42,0,1.07,0,1.07,1.07,0,20.33,11.77,0,0,0,1.07,0,0,2.14,0,0,0,0
21Day,1.34,1.34,17.4,0,8.03,0,1.34,0,1.34,0,0,0,6.69,0,4.02,9.37,4.02,1.34,0,0,0,0,12.05,8.03,0,1.34,0,2.68,4.02,0,1.34,0,0,0,6.69
3Month,0.96,1.28,23.36,0.64,0,0.64,0.32,2.24,8,0,25.92,7.04,1.28,11.84,0.32,7.04,6.72,3.52,0.32,0,1.28,2.24,0.96,0.32,1.6,0.32,0,0.96,0.64,29.76,0,0.32,1.92,18.24,9.92
22Month,1.64,1.09,10.93,0,0,0.55,1.09,2.73,28.97,3.83,84.73,8.75,5.47,25.15,1.09,4.92,17.49,7.11,0,5.47,1.64,0.55,0.55,0,1.09,0.55,1.64,0.55,0,10.93,0,0.55,0,0,6.01
