stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,1.07,0,0,0
21Day,0,0,6.69,1.34,4.02,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,1.34,2.68,0,0,0,1.34,0,0,0,0,6.69
3Month,0,0.32,14.4,0.64,0,0.32,0.32,1.92,1.28,0,16.96,0.96,0.64,21.76,1.28,3.2,3.84,1.6,0,0.64,1.92,1.6,0,0.96,0.64,0,0.32,6.4,0,4.48,1.28,8
22Month,2.73,0.55,5.47,0,0,0,0,0.55,0.55,4.92,41,0,1.09,12.03,0.55,1.09,1.64,3.28,0.55,1.09,0,0,0,0.55,1.09,0.55,0,0,1.64,0.55,0,1.64
