stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,1.07,0,0,2.14,0,0,0,0,0,0,0,0,2.14,0,0,0
21Day,1.34,4.02,0,0,0,0,0,8.03,0,0,0,1.34,0,4.02,0,0,0,0,0,1.34,0,2.68,0,0,0,1.34,2.68,0,0,0,0
3Month,0.32,13.44,0.64,0.32,4.8,0.96,0,163.17,0.96,76.79,6.4,3.84,1.6,6.72,1.6,0.32,0.96,1.92,0.32,2.56,1.28,0.64,5.12,6.72,0.64,0,0,0.32,1.28,6.08,1.6
22Month,2.19,1.64,0,0,1.64,2.19,1.64,99.49,1.09,43.73,1.09,1.09,0.55,8.2,0.55,0.55,0.55,0,0.55,2.19,0,1.64,0,0.55,4.37,1.64,0,0,0,0,0.55
