stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,9.63,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,1.07,2.14,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0,0.96,0,0.64,0.32,0,8.32,0.96,0,0.96,0.64,0,0,0.64,0,0.32,0.32,0,0,0,11.2,0,0.32,6.72
22Month,0,0,1.64,0,0,0,0.55,92.93,0.55,0,1.09,0.55,0.55,0.55,0,3.83,0,0,0,0.55,1.09,6.01,1.09,0,0
