stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,20.43,4.09,73.56,4.09,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,1.07,3.21,21.4,14.98,2.14,0,1.07,0
21Day,1.34,2.68,1.34,6.69,4.02,0,0,1.34,1.34,1.34,10.71,9.37,12.05,4.02,1.34,1.34,1.34
22Month,0,0,0,0,0,7.65,1.64,0,0,0,0,0,0,0,0,0,0
