stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,396.38,147.11,0,547.58,24.52,4.09,0,0,0,0,32.69,0,0,0,0,36.78,138.94,167.54,527.15,0,0,4.09,437.25,40320.55,0,0,69.47,0,0,36.78,0,0,28.6,0,0,0
72hpf,279.22,400.1,0,158.33,134.79,92,0,0,0,0,0,0,0,2.14,0,40.65,272.8,17.12,391.54,3.21,3.21,2.14,1140.4,12533.67,1.07,13.91,203.26,2.14,0,1742.69,24.61,4.28,24.61,0,0,0
21Day,62.91,28.11,2.68,91.02,21.42,123.15,0,6.69,0,0,0,6.69,0,2.68,9.37,2.68,41.49,14.72,107.08,0,12.05,0,248.97,4422.51,0,6.69,37.48,119.13,5.35,694.7,10.71,30.79,6.69,1.34,0,13.39
3Month,0.32,2.24,0.96,17.92,1.92,0,0,0,0.32,0.32,0,4.16,1.28,0,1.92,3.84,1.92,0.32,19.84,0,0,0.32,3.2,39.67,7.04,0,0,0.96,1.6,11.84,0.32,0,2.56,0.32,0.64,0.32
22Month,0,1.64,0,4.92,1.09,0,0.55,0,0.55,0,0,8.75,0,0,1.09,1.09,1.09,0.55,10.39,1.09,0,0,0.55,9.84,4.37,0,0,0,0,4.37,0,0,2.19,0,0,0
