stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,1.34,4.02,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,9.37,0,0,0,0
3Month,2.24,0.32,0.64,0,0,0.32,0.96,0.32,0.64,0.64,1.6,0.64,1.28,0.32,0,0.32,0,23.36,0.32,0.32,0,0.32
22Month,0.55,2.73,2.19,0,0.55,2.19,7.11,0.55,0,0,0.55,2.19,4.37,0,1.09,0,0,38.27,0,0,0.55,0
