stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,118.51,8.17,0,163.46,4.09,0,0,0,0,0,0,0,16.35,12.26,4.09,171.63,0,0,0,16.35,662,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,2.14,4.28,0,3.21,0,0,0,9.63,8.56,0,0,4.28,0,0,6.42,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,4.02,1.34,0,0,8.03,0,0,1.34,0,0,0
3Month,0,0.96,3.2,8.64,0,2.56,0,0,3.52,0.32,0.32,9.92,1.6,1.92,1.6,3.52,0,8,1.28,0,0,0.96,0.32,0.32,0.96,5.44,0.64,0,7.36,0
22Month,0,0.55,2.19,2.73,0,1.09,1.09,1.09,10.39,0,0,6.01,0,0,1.09,2.19,0.55,0.55,0,0.55,0,0.55,0,0,0,1.64,0,0,0.55,0.55
