stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,4.09,4.09,4.09,0
72hpf,0,0,0,0,0,1.07,0
3Month,0.32,0.64,0.32,0,0,0,0.96
