stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,2.14,0,0,0,0,0,0,1.07,3.21,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,68.27,0,0,0,0,0,0,0,5.35,1.34,2.68,0,0,0,2.68,0,4.02,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.64,0.32,405.06,0.32,0.64,2.24,11.52,1.6,0.32,7.68,10.56,6.72,3.2,2.24,0.96,0.32,22.4,0.32,0,0.32,0.32,0,0,0.32,1.92,2.56,0.32,0.96,4.48,1.92
22Month,1.09,2.19,34.44,0,1.09,2.19,11.48,0.55,0.55,1.09,1.09,0.55,4.92,0.55,0,0,6.01,0,0.55,0,0,0.55,0.55,0,0,0,0,0,0,1.64
