stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,1.07,0,60.98,2.14,0,1.07,1.07,0,0
21Day,0,0,1.34,0,0,1.34,1.34,1.34,10.71,0,0,0,0,0,1.34
3Month,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.32,0
22Month,0,1.09,0,0,3.28,0.55,1.09,2.19,0,0,0,0,0,1.09,0
