stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,417.22,90.93,0,1.07,0,0,0,0,22.47,8.56,0,0,0,3.21,0,0,1.07,0,0,0
21Day,4.02,0,1.34,53.54,1.34,0,0,0,0,0,4.02,0,5.35,0,451.09,74.96,1.34,8.03,0,0,0,0,22.76,4.02,0,0,0,8.03,4.02,1.34,1.34,0,0,1.34
3Month,0,0.64,1.6,29.44,0,0.64,0.32,0.96,4.16,0,18.56,4.8,0,8.32,194.85,2.24,3.84,5.76,0.32,0,77.11,0.64,0.64,0,0.64,0.64,0,0.32,3.84,248.92,0,0.32,35.83,1.6
22Month,0,0,0.55,6.01,0,0,0,0.55,1.09,1.64,19.13,0.55,0,2.19,44.83,0.55,0.55,2.73,0,1.09,44.83,0,0,0,0.55,0.55,10.39,0,0,40.45,0,0,0,0.55
