stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,2.14,2.14,0,0,3.21,2.14,1.07,0,3.21,0,0,0,0,0,0
21Day,0,6.69,0,0,0,0,0,0,1.34,6.69,0,4.02,1.34,1.34,0,2.68,8.03,0,0,0,0,2.68,0,0,0,0,1.34
3Month,0.96,3.52,0,0,0.32,1.28,0,3.2,2.24,0,0.32,0.96,3.52,1.6,0.32,0,0,0,0.64,0.32,0,0,0.32,0,1.6,0.96,7.04
22Month,2.19,1.64,0,0.55,1.64,2.73,2.73,14.21,0.55,1.09,1.64,0.55,4.92,3.28,0,0,0.55,0,0.55,0,0,1.09,0.55,0.55,0,0,3.28
