stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,20.43,0,0,0,0,0,0,8.17,0,138.94,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,16.05,3.21,2.14,0,0,0,0,0,0,0,0,0,23.54,2.14,0,1.07,0,1.07,0,3.21,25.67,43.86,0,0,0,5.35,0,0,19.26,1.07,0,0,0
21Day,1.34,0,17.4,8.03,2.68,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,1.34,10.71,5.35,0,1.34,0,0,1.34,2.68,1.34,1.34,0,0,0
3Month,1.28,1.6,79.35,5.76,0,0.32,0.64,0.32,21.76,4.8,17.28,3.84,0.96,7.68,24.32,5.44,1.28,3.52,0.32,0,1.28,2.56,8.96,0.64,1.92,1.28,0,0.32,2.24,76.15,1.28,0.96,3.2,759.56,3.52
22Month,1.64,0,32.8,1.64,0,0,0,0,4.37,1.64,8.75,0.55,0,3.28,1.64,0,1.09,1.09,0,1.09,0.55,0,3.28,1.09,0,0,0.55,0,0,71.07,0,0,0,7.11,0
