stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,2.14,4.28,1.07,0,0,0,0,0,74.89,7.49,0,0,1.07,0,0,0,1.07,0,0,0
21Day,2.68,0,0,4.02,1.34,2.68,0,0,0,2.68,0,5.35,0,0,0,0,0,0,0,0,0,26.77,6.69,1.34,0,1.34,1.34,0,0,1.34,0,0,1.34
3Month,0.32,0,0.64,3.2,0,0,0.96,1.28,0,11.52,0.96,0.32,0.96,0,0.96,0.32,0.32,0.32,0,0.32,0.96,0.32,0,0.64,0,0.32,0,2.56,0,0,0.32,3.84,0.96
22Month,0.55,0.55,0,2.73,0,0,0.55,2.19,1.09,64.51,0,0,6.01,0,0,0.55,2.73,0,1.64,1.64,0,1.09,0,0.55,0.55,0,0,0.55,0.55,0,0,0,0.55
