stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,28.11,0,0,0,1.34,1.34,1.34,0,0,0,0,1.34,0,0
3Month,0.96,0,0.96,0,0,48.31,1.28,0.96,0,0,1.28,0.32,0,0,0,0.32,0,0.32,3.52
22Month,1.64,0.55,0.55,0,3.28,236.7,4.37,0.55,0.55,0,29.52,3.28,0.55,0.55,0,0,0,0,3.83
