stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Primordial_germ_cell
21Day,0,0,4.02,0,1.34,0,1.34,0,0,0
3Month,0.32,0.32,5.76,0.96,10.88,0.32,0.64,0.32,0.32,0.96
22Month,0,0,13.12,0.55,3.83,0,0,1.09,0.55,0
