stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,34.23,6.42,0,43.86,110.19,116.61,5.35,0,1.07,1.07,0,1.07,1.07,128.37,83.44,10.7,1728.78,3.21,1.07,493.17,225.73,5.35,3.21,125.17,3.21,41.72,13.91,3.21,6.42,0
21Day,24.09,6.69,2.68,133.85,5.35,89.68,18.74,1.34,5.35,22.76,1.34,32.12,10.71,1.34,60.23,20.08,381.48,0,17.4,121.81,52.2,0,2.68,45.51,25.43,16.06,6.69,24.09,4.02,16.06
