stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,28.6,0,0,0,0,0,0
72hpf,2.14,2.14,0,6.42,0,0,0,0,0,1.07,7.49,0,6.42,0,0,0,0,4.28,4.28,4.28,0,3.21,0,0,0
21Day,8.03,0,1.34,9.37,1.34,0,0,0,0,0,6.69,0,9.37,0,0,0,0,2.68,1.34,4.02,1.34,0,0,0,0
3Month,0,0,0,2.56,0,0.32,0.32,1.6,0.32,0,1.92,0.64,1.28,0.32,0,0,0.32,0,0,0,0,0,0.32,0.64,0.32
22Month,0,0,0,2.19,0,1.09,1.09,5.47,0,0,0.55,0,1.09,0,0.55,0.55,0,0,0,0,0,0,0,0,0
