stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Primordial_germ_cell,T_cell
3Month,0,0.32,0,0.32,0.32,0,0,4.8,0
22Month,0.55,0,0.55,2.73,0,0.55,0.55,0,0.55
