stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,1.07,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,0,1.34,0,0,0
3Month,0,0.96,0.32,0,1.28,0,0,0,0,0,0,0,0,0,0.64,0,0,0
22Month,0.55,1.09,2.19,0.55,22.41,0.55,0.55,2.73,0.55,1.09,1.64,0.55,0,0,3.28,0,0.55,0.55
