stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,118.51,53.12,253.36,4.09,6060.14,277.88,0,28.6,0,0,8.17,4.09,130.76,102.16,298.31,4.09,0,0,102.16,2308.82,8.17,0,20.43,0,0,0,0,0,20.43
72hpf,190.42,23.54,396.89,10.7,54479.11,12.84,4.28,0,2.14,6.42,0,46,402.24,82.37,250.33,8.56,6.42,2.14,1445.29,631.18,6.42,17.12,263.17,5.35,0,86.65,4.28,22.47,16.05
21Day,0,0,0,0,20.08,0,0,0,0,1.34,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0,0,0,0,0,0,0,0.32,0.32,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0
22Month,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
