stage,Epithelial_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0
72hpf,3.21,0,0,0,1.07,0,0,0,0,0
21Day,26.77,0,1.34,1.34,12.05,0,0,0,0,0
3Month,10.24,0.64,0,0.64,0,0,0.32,0.64,1.28,0.32
22Month,0.55,1.64,0,0,0,0,0,1.09,0,0
