stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell
72hpf,0,21.4,0,0,0,0,0,1.07
21Day,0,13.39,0,0,0,1.34,0,0
3Month,0,0,0.32,0.96,0,0,0,0
22Month,0.55,0,0,0.55,0.55,0,0.55,0
