stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,36.78,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,9.63,0,0,0,0,0,0,0,0,2.14,49.21,0,4.28,0,0,8.56,3.21,1.07,0,0,0,0,1.07,0,0,0,0
21Day,0,30.79,0,1.34,1.34,0,0,2.68,0,0,1.34,21.42,0,2.68,0,0,2.68,4.02,0,0,2.68,0,0,0,1.34,0,0,0
3Month,0.32,28.48,0,0.32,0.32,0.32,0,5.76,0,2.88,0.96,67.83,0.32,1.6,0,0.32,0.32,0,0,0,0,0.64,0.96,0,0,4.16,2.56,1.6
22Month,0,15.31,0.55,1.09,0.55,0.55,9.84,15.31,0.55,2.73,0,7.11,1.64,5.47,0.55,0.55,0,0,0,0.55,0,0.55,0,0,0,0,0,0
