stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,1.07,0,2.14,1.07,0,0,7.49,2.14,11.77,0,1.07,2.14,3.21,0,0
21Day,0,0,0,0,9.37,0,0,2.68,1.34,2.68,0,0,0,5.35,0,0
3Month,0.32,0,0.32,0,2.88,0.32,0.64,1.6,0,0.32,0.96,0,0,0,0.32,1.6
22Month,0,0,1.09,0,0.55,0,0,0,0,0,0,0,0,0,0,0
