stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,12.26,0,0,4.09,32.69,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,0,0,0,0,0,1.07,4.28,0,6.42,0,3.21,7.49,1.07,0,2.14,0,0,0,3.21,0
21Day,0,4.02,4.02,0,0,1.34,0,0,0,0,1.34,9.37,1.34,0,0,5.35,0,4.02,0,1.34,1.34,0,1.34
3Month,0,0,1.92,0.32,0,2.24,0,5.44,0,0.32,0.32,0.32,0,2.24,0,0,0,0,0.32,1.6,0,0,0
22Month,0,1.09,0.55,0,2.19,20.23,0.55,13.12,0,0,1.64,1.64,0,1.64,0,0,0.55,0,0,1.09,0,0,0.55
