stage,Immune_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell
24hpf,0,0,4.09,0,4.09,53.12,0,0,0
72hpf,0,0,2.14,0,7.49,7.49,1.07,1.07,1.07
21Day,1.34,1.34,4.02,0,4.02,2.68,1.34,1.34,0
3Month,0,0,0.32,0.32,0,0,0,0,0
