stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,20.43,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,20.33,0,2.14,3.21,4.28,0,0,34.23,0,1.07,0,0,0
21Day,5.35,0,1.34,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,29.45,0,1.34,2.68,2.68,0,0,20.08,1.34,1.34,0,0,1.34
3Month,0.32,1.28,7.68,0,0,0.32,0.32,0,0.96,0,0,1.28,0.32,1.28,1.28,0.64,11.52,3.2,0.32,0,0,0.32,0.32,2.24,0,0,0.64,0.96,0.64
22Month,0,0.55,0.55,0,0,0,0,0.55,0,1.09,0,5.47,0.55,0,0.55,0,7.65,0,0.55,0,0,0,0,1.09,0,0,0,0,0
