stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,14.08,0,0,0.32,0.32,0.96,0,5.76,0.64,0,0.64,0.32,2.24,0.96,0,0,0,0,0,0.64,0,3.52,0.32,0.32
22Month,0.55,1.64,0,0.55,0.55,0.55,0,4.37,24.05,1.09,1.64,0,1.64,3.83,0,2.19,0.55,0,0.55,1.09,0,0.55,0.55,0,0
