stage,Cardiomyocyte,Erythrocyte,Granulocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,0,1.07,1.07,2.14,10.7,2.14,0,0
21Day,1.34,2.68,0,1.34,0,0,0,4.02,5.35,1.34,2.68,0
3Month,0,0,0.32,0,0.64,0,0,0,0,0,0,0.64
