stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,4.09,0
72hpf,0,0,0,3.21,0,2.14,0,0
21Day,0,0,0,0,0,0,2.68,0
3Month,0.96,0.64,0.64,0,0,0,0,3.2
